campaignType,targetAudience,channels,estimatedDurationDays,teamSize,mediaBudget,externalCosts,fixedCosts,mainGoals,keyDeliverables,metrics,dependencies,risks,contingencyPercent,estimatedBudget
"Awareness","B2C","Social|Display",30,4,6000,2000,500,"Notoriété","Visuels;Landing","Impressions;Reach","Aucun","Faible engagement",8,12000
"Acquisition","B2C","SEA|Social",38,6,17800,3000,820,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",14,29200
"Awareness","B2B","PR|LinkedIn",70,3,6200,1700,440,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",13,16000
"Retention","GenZ","App|Push",46,4,4360,980,360,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",11,12600
"Launch","B2C","Influencer|Social",36,6,23600,5960,1530,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",20,45800
"Branding","Millennials","Social|Events",96,8,16400,8920,1470,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",17,39200
"Acquisition","B2B","LinkedIn|SEA",58,6,27200,5200,1360,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",17,49200
"Awareness","B2C","Radio|Social",44,3,7120,1560,375,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",13,17000
"Retention","SMB","Email|Support",128,2,1760,520,200,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,7040
"Launch","B2B","Events|PR",182,12,45200,35200,4680,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",26,142000
"Branding","GenZ","Instagram|Influencer",50,4,12000,2700,700,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",15,22000
"Acquisition","B2C","SEA|Social",40,5,14800,2400,620,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",12,23600
"Awareness","B2B","LinkedIn|Webinar",74,4,9600,3000,600,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",12,20000
"Retention","B2C","App|Push",48,3,3640,900,280,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",9,9400
"Launch","SMB","Social|Influencer",38,6,20100,5280,1360,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",17,39200
"Branding","B2C","OOH|Social",78,7,13000,5680,940,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",14,26000
"Acquisition","GenZ","Social|Influencer",38,4,10600,1820,460,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",14,18600
"Awareness","B2C","Display|Video",58,3,8360,1450,430,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",10,16200
"Retention","Millennials","Email|Social",56,3,4160,1240,360,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",11,13600
"Launch","B2B","LinkedIn|Events",102,6,17600,15600,1890,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",18,50800
"Branding","SMB","Social|Email",68,5,8800,2680,700,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",14,22400
"Acquisition","B2C","SEA|Social",40,6,18200,3100,840,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",15,30400
"Awareness","B2B","PR|LinkedIn",72,3,6400,1750,460,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",14,16800
"Retention","GenZ","App|Push",48,4,4520,1000,380,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",12,13200
"Launch","B2C","Influencer|Social",38,6,24000,6080,1550,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",21,47000
"Branding","Millennials","Social|Events",98,8,16800,9000,1500,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",18,40400
"Acquisition","B2B","LinkedIn|SEA",60,6,28000,5300,1380,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",18,50400
"Awareness","B2C","Radio|Social",46,3,7280,1600,390,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",14,17600
"Retention","SMB","Email|Support",140,2,1840,540,210,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,7360
"Launch","B2B","Events|PR",192,13,46800,36800,4760,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",28,150000
"Acquisition","B2C","SEA|Social",34,5,12200,2400,620,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,18600
"Awareness","B2C","Social|Display",29,4,7100,1550,410,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,11600
"Retention","SMB","Email|CRM",65,2,1550,640,210,"Fidélisation","Emails;Programmes","Open rate;Churn","Support","Données incomplètes",6,4700
"Launch","B2B","LinkedIn|Events",97,7,15700,11100,1710,"Lancement produit","Event;Demo","Leads;Demos","Dev","Retard livraison",13,40700
"Branding","GenZ","TikTok|Influencer",37,4,9700,2250,560,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Contenu rejeté",10,17000
"Acquisition","B2C","SEA|Display",31,6,11700,1880,490,"Conversions","Ads;Landing","CPA;ROAS","SEO","Concurrence CPC",9,17400
"Awareness","B2B","PR|LinkedIn",46,3,5450,1310,345,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",8,10850
"Retention","B2C","Email|SMS",25,3,2020,570,170,"Réachat","Offers;Reminders","Repeat rate;Open","DB","Opt-out",6,5650
"Launch","SMB","Email|SEA",51,5,17100,3860,920,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",12,30600
"Branding","Millennials","Social|Events",69,7,11050,6600,1020,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation event",12,26700
"Acquisition","B2B","LinkedIn|Email",57,6,21500,4320,1120,"Leads","Ads;Case studies","CPL;MQL","Sales","Cycle long",13,37000
"Awareness","B2C","Radio|Social",29,3,4980,1030,275,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",8,11800
"Retention","SMB","Support|Email",89,2,1170,365,135,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,4880
"Launch","B2B","Events|PR",131,9,32900,24800,3580,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",18,96800
"Branding","GenZ","Instagram|Influencer",37,4,9680,2220,560,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",10,16800
"Acquisition","B2C","SEA|Social",29,5,11600,1840,495,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,17450
"Awareness","B2B","LinkedIn|Webinar",55,4,7880,2360,475,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",8,15450
"Retention","B2C","App|Push",37,3,2760,760,225,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",7,7360
"Launch","SMB","Social|Influencer",23,6,16950,4380,1120,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",13,32500
"Branding","B2C","OOH|Social",63,6,10950,4760,785,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",10,21900
"Acquisition","GenZ","Social|Influencer",31,4,8920,1370,350,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",10,15150
"Awareness","B2C","Display|Video",47,3,7240,1190,335,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",8,13150
"Retention","Millennials","Email|Social",39,3,3080,920,260,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",7,10150
"Launch","B2B","LinkedIn|Events",66,6,12950,10850,1490,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",12,39900
"Branding","SMB","Social|Email",50,5,6340,1880,525,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",9,16450
"Acquisition","B2C","SEA|Social",29,6,13950,2490,645,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",10,23100
"Awareness","B2B","Display|PR",52,3,4340,1340,365,"Visibilité","Ads;Communiqué","Impressions;Mentions","Aucun","Faible reach",8,12150
"Retention","GenZ","App|Social",34,4,3360,785,270,"Engagement","In-app offers;Content","DAU;Retention","App team","Crash app",7,9540
"Launch","B2C","Social|SEA",26,6,19150,4890,1295,"Ventes initiales","Campagne;Landing","Sales;CPA","Stock","Retour produit élevé",14,35500
"Branding","Millennials","Social|PR",73,5,8620,3160,690,"Image de marque","Communiqué;Visuels","Sentiment;Reach","Agence PR","Mauvaise couverture",11,21100
"Acquisition","B2B","LinkedIn|SEA",45,6,20150,3960,1125,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",12,36300
"Awareness","B2C","TV|Social",93,9,73700,17950,3670,"Notoriété","Spot TV;Social","Reach;Impressions","Production","Coût production élevé",22,117800
"Retention","SMB","Email|Webinar",36,2,1980,840,235,"Fidélisation","Webinar;Follow-up","Attendance;NPS","Support","Faible participation",7,7680
"Launch","B2B","Events|LinkedIn",111,7,17200,12000,1730,"Lancement produit","Event;Brochure","Leads;Meetings","Dev release","Retard livraison",13,44600
"Branding","GenZ","TikTok|UGC",38,4,10050,2360,545,"Notoriété","UGC;Shorts","Views;Engagement","Creators","Contenu rejeté",10,17850
"Acquisition","B2C","SEA|Social",35,5,12450,1930,525,"Conversions","Landing;A/B tests","CPA;CTR","SEO","CPC élevé",9,18350
"Awareness","B2B","LinkedIn|Display",60,3,9620,2560,515,"Notoriété","Whitepaper;Ads","Impressions;CTR","Sales enablement","Faible reach",9,17150
"Retention","B2C","Email|SMS",32,3,2280,675,190,"Réachat","Offers;Reminders","Repeat rate;Open","DB update","Opt-out",7,6870
"Launch","SMB","Email|Events",79,7,15350,12050,1770,"Onboarding clients","Event;Docs","Sign-ups;Trials","Legal approval","Retard approbation",13,44500
"Branding","B2C","OOH|TV",101,8,12800,5540,940,"Notoriété locale","Affiches;Social","Reach;Recall","Permis locaux","Refus emplacement",12,27500
"Acquisition","GenZ","Social|Influencer",34,4,9320,1510,375,"Installations","Ads;Influencer","CPI;Engagement","App store","Rejet app",10,15700
"Awareness","B2C","Display|Video",50,3,7500,1230,345,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",8,13650
"Retention","Millennials","Email|Social",42,3,3320,1000,285,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",8,11250
"Launch","B2B","LinkedIn|Webinar",71,6,14200,12200,1530,"Démonstrations","Webinar;Demo","Registrations;Demos","Dev","Bug produit",13,42350
"Branding","SMB","Social|Email",57,5,6920,2030,545,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",10,17750
"Acquisition","B2C","SEA|Social",33,6,15100,2680,710,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",11,24900
"Awareness","B2B","PR|LinkedIn",63,3,5460,1510,395,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",10,13700
"Retention","GenZ","App|Push",39,4,3960,880,305,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",8,10900
"Launch","B2C","Influencer|Social",31,6,20700,5440,1360,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",16,39600
"Branding","Millennials","Social|Events",81,7,14400,7740,1240,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",14,34000
"Acquisition","B2B","LinkedIn|SEA",49,6,23100,4420,1235,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",14,41400
"Awareness","B2C","Radio|Social",37,3,6000,1290,335,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",10,14800
"Retention","SMB","Email|Support",106,2,1360,410,150,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,5520
"Launch","B2B","Events|PR",164,10,42000,32000,4240,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",23,121000
"Branding","GenZ","Instagram|Influencer",47,4,11400,2500,670,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",13,20800
"Acquisition","B2C","SEA|Social",39,5,13900,2260,585,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",11,21400
"Awareness","B2B","LinkedIn|Webinar",73,4,9220,2920,580,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",11,19300
"Retention","B2C","App|Push",47,3,3480,880,270,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",9,9040
"Launch","SMB","Social|Influencer",37,6,19850,5180,1340,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",16,38000
"Branding","B2C","OOH|Social",77,7,12700,5720,940,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",13,25800
"Acquisition","GenZ","Social|Influencer",37,4,10400,1780,445,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",13,18200
"Awareness","B2C","Display|Video",58,3,8400,1440,430,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",10,16400
"Retention","Millennials","Email|Social",56,3,4200,1260,360,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",11,13800
"Launch","B2B","LinkedIn|Events",100,6,17800,15800,1900,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",18,51200
"Branding","SMB","Social|Email",70,5,8920,2700,700,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",14,22800
"Acquisition","B2C","SEA|Social",40,6,18000,3050,840,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",15,30800
"Awareness","B2B","PR|LinkedIn",72,3,6280,1720,450,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",13,16200
"Retention","GenZ","App|Push",48,4,4440,1000,380,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",12,13400
"Launch","B2C","Influencer|Social",38,6,24200,6060,1540,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",20,46200
"Branding","Millennials","Social|Events",100,8,17000,9040,1500,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",18,40800
"Acquisition","B2B","LinkedIn|SEA",60,6,28200,5360,1400,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",18,50800
"Awareness","B2C","Radio|Social",46,3,7360,1620,395,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",14,17800
"Retention","SMB","Email|Support",142,2,1880,540,210,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,7480
"Launch","B2B","Events|PR",196,13,47000,37000,4780,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",28,151000
"Branding","GenZ","Instagram|Influencer",52,4,12200,2750,720,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",16,22600
"Acquisition","B2C","SEA|Social",42,5,15000,2480,640,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",13,24600
"Awareness","B2B","LinkedIn|Webinar",76,4,9800,3100,620,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",13,20600
"Retention","B2C","App|Push",50,3,3720,920,280,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",10,9600
"Launch","SMB","Social|Influencer",40,6,20300,5360,1370,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",18,40000
"Branding","B2C","OOH|Social",80,7,13200,5800,960,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",14,26400
"Acquisition","GenZ","Social|Influencer",40,4,10800,1840,460,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",14,19000
"Awareness","B2C","Display|Video",60,3,8520,1480,440,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",11,16800
"Retention","Millennials","Email|Social",58,3,4320,1280,370,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",12,14200
"Launch","B2B","LinkedIn|Events",104,6,18000,16000,1920,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",19,52000
"Branding","SMB","Social|Email",72,5,9040,2760,720,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",15,23200
"Acquisition","B2C","SEA|Social",42,6,18600,3200,860,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",16,32000
"Awareness","B2B","PR|LinkedIn",74,3,6560,1780,470,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",14,17200
"Retention","GenZ","App|Push",50,4,4600,1040,400,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",13,14000
"Launch","B2C","Influencer|Social",40,6,24600,6200,1560,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",22,47600
"Branding","Millennials","Social|Events",102,8,17200,9160,1520,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",19,41600
"Acquisition","B2B","LinkedIn|SEA",62,6,28800,5480,1400,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",19,52000
"Awareness","B2C","Radio|Social",48,3,7440,1640,405,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",15,18400
"Retention","SMB","Email|Support",148,2,1920,560,220,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,7840
"Launch","B2B","Events|PR",208,14,48000,38000,4900,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",30,158000
"Acquisition","B2C","SEA|Social",34,5,12400,2400,620,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,18800
"Awareness","B2C","Social|Display",28,4,7100,1500,410,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,11700
"Retention","SMB","Email|CRM",64,2,1500,640,210,"Fidélisation","Emails;Programmes","Open rate;Churn","Support","Données incomplètes",6,4680
"Launch","B2B","LinkedIn|Events",98,7,15800,11200,1720,"Lancement produit","Event;Demo","Leads;Demos","Dev","Retard livraison",13,40800
"Branding","GenZ","TikTok|Influencer",36,4,9800,2300,560,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Contenu rejeté",10,17400
"Acquisition","B2C","SEA|Display",31,6,11800,1900,490,"Conversions","Ads;Landing","CPA;ROAS","SEO","Concurrence CPC",9,17650
"Awareness","B2B","PR|LinkedIn",46,3,5400,1300,340,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",8,10850
"Retention","B2C","Email|SMS",25,3,2000,550,170,"Réachat","Offers;Reminders","Repeat rate;Open","DB","Opt-out",6,5600
"Launch","SMB","Email|SEA",52,5,17000,3800,920,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",12,30800
"Branding","Millennials","Social|Events",68,7,11000,6500,1000,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation event",12,26400
"Acquisition","B2B","LinkedIn|Email",54,6,21000,4200,1100,"Leads","Ads;Case studies","CPL;MQL","Sales","Cycle long",13,36200
"Awareness","B2C","Radio|Social",26,3,4800,1000,260,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",8,11200
"Retention","SMB","Support|Email",86,2,1100,350,130,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,4680
"Launch","B2B","Events|PR",126,9,32200,24200,3520,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",18,92400
"Branding","GenZ","Instagram|Influencer",36,4,9400,2150,560,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",10,16600
"Acquisition","B2C","SEA|Social",29,5,11600,1840,495,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,17400
"Awareness","B2B","LinkedIn|Webinar",54,4,7600,2300,460,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",8,15200
"Retention","B2C","App|Push",36,3,2700,750,220,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",7,7200
"Launch","SMB","Social|Influencer",22,6,16600,4300,1100,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",13,31800
"Branding","B2C","OOH|Social",60,6,10500,4600,760,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",10,21000
"Acquisition","GenZ","Social|Influencer",28,4,8600,1300,340,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",10,14000
"Awareness","B2C","Display|Video",42,3,7000,1100,300,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",8,12400
"Retention","Millennials","Email|Social",38,3,3000,900,240,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",7,9800
"Launch","B2B","LinkedIn|Events",62,6,12500,10500,1450,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",12,38000
"Branding","SMB","Social|Email",44,5,6000,1800,500,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",9,15000
"Acquisition","B2C","SEA|Social",26,6,13500,2300,620,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",10,22000
"Awareness","B2B","Display|PR",48,3,4200,1300,350,"Visibilité","Ads;Communiqué","Impressions;Mentions","Aucun","Faible reach",8,11600
"Retention","GenZ","App|Social",31,4,3200,750,260,"Engagement","In-app offers;Content","DAU;Retention","App team","Crash app",7,9000
"Launch","B2C","Social|SEA",22,6,18500,4700,1250,"Ventes initiales","Campagne;Landing","Sales;CPA","Stock","Retour produit élevé",14,34000
"Branding","Millennials","Social|PR",70,5,8200,3000,650,"Image de marque","Communiqué;Visuels","Sentiment;Reach","Agence PR","Mauvaise couverture",11,20000
"Acquisition","B2B","LinkedIn|SEA",40,6,19500,3800,1100,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",12,35000
"Awareness","B2C","TV|Social",85,9,70000,17000,3500,"Notoriété","Spot TV;Social","Reach;Impressions","Production","Coût production élevé",20,110000
"Retention","SMB","Email|Webinar",30,2,1800,800,220,"Fidélisation","Webinar;Follow-up","Attendance;NPS","Support","Faible participation",7,7000
"Launch","B2B","Events|LinkedIn",100,7,16000,11500,1650,"Lancement produit","Event;Brochure","Leads;Meetings","Dev release","Retard livraison",13,42000
"Branding","GenZ","TikTok|UGC",37,4,9800,2300,540,"Notoriété","UGC;Shorts","Views;Engagement","Creators","Contenu rejeté",10,17000
"Acquisition","B2C","SEA|Social",31,5,11800,1850,500,"Conversions","Landing;A/B tests","CPA;CTR","SEO","CPC élevé",9,17800
"Awareness","B2B","LinkedIn|Display",55,3,9000,2400,480,"Notoriété","Whitepaper;Ads","Impressions;CTR","Sales enablement","Faible reach",9,16000
"Retention","B2C","Email|SMS",26,3,2100,600,180,"Réachat","Offers;Reminders","Repeat rate;Open","DB update","Opt-out",7,6200
"Launch","SMB","Email|Events",70,7,14000,11000,1700,"Onboarding clients","Event;Docs","Sign-ups;Trials","Legal approval","Retard approbation",13,42000
"Branding","B2C","OOH|TV",90,8,12000,5200,900,"Notoriété locale","Affiches;Social","Reach;Recall","Permis locaux","Refus emplacement",12,26000
"Acquisition","GenZ","Social|Influencer",29,4,9000,1400,360,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",10,14500
"Awareness","B2C","Display|Video",44,3,7200,1150,320,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",8,12800
"Retention","Millennials","Email|Social",40,3,3200,950,260,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",7,10200
"Launch","B2B","LinkedIn|Webinar",65,6,13500,11500,1500,"Démonstrations","Webinar;Demo","Registrations;Demos","Dev","Bug produit",13,41000
"Branding","SMB","Social|Email",46,5,6200,1900,520,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",9,16000
"Acquisition","B2C","SEA|Social",28,6,14000,2400,650,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",10,23000
"Awareness","B2B","PR|LinkedIn",50,3,4600,1350,360,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",9,12000
"Retention","GenZ","App|Push",33,4,3400,800,280,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",7,9500
"Launch","B2C","Influencer|Social",24,6,19000,5000,1300,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",15,36000
"Branding","Millennials","Social|Events",72,7,12500,7000,1100,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",13,30000
"Acquisition","B2B","LinkedIn|SEA",42,6,20500,4000,1150,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",13,37000
"Awareness","B2C","Radio|Social",30,3,5200,1100,270,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",9,12500
"Retention","SMB","Email|Support",90,2,1200,380,140,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,5000
"Launch","B2B","Events|PR",130,9,35000,26000,3800,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",18,98000
"Branding","GenZ","Instagram|Influencer",40,4,10000,2300,600,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",11,18000
"Acquisition","B2C","SEA|Social",33,5,12500,2000,520,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,18500
"Awareness","B2B","LinkedIn|Webinar",58,4,8200,2500,500,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",9,17000
"Retention","B2C","App|Push",36,3,2900,780,230,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",7,7600
"Launch","SMB","Social|Influencer",26,6,17500,4600,1200,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",14,33000
"Branding","B2C","OOH|Social",65,6,11000,4800,800,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",11,22000
"Acquisition","GenZ","Social|Influencer",31,4,9200,1500,380,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",11,15500
"Awareness","B2C","Display|Video",46,3,7400,1200,340,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",9,13200
"Retention","Millennials","Email|Social",42,3,3400,1000,280,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",8,10800
"Launch","B2B","LinkedIn|Events",70,6,14500,12500,1600,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",14,42000
"Branding","SMB","Social|Email",50,5,6800,2100,560,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",10,17500
"Acquisition","B2C","SEA|Social",30,6,15000,2500,700,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",11,24000
"Awareness","B2B","PR|LinkedIn",55,3,5000,1400,380,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",10,13000
"Retention","GenZ","App|Push",35,4,3600,820,290,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",8,10000
"Launch","B2C","Influencer|Social",28,6,20000,5200,1350,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",16,38000
"Branding","Millennials","Social|Events",75,8,13500,7500,1200,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",14,32000
"Acquisition","B2B","LinkedIn|SEA",45,6,22000,4200,1200,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",14,39000
"Awareness","B2C","Radio|Social",32,3,5600,1200,300,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",10,13500
"Retention","SMB","Email|Support",95,2,1300,400,150,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,5200
"Launch","B2B","Events|PR",140,10,38000,28000,4000,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",20,105000
"Acquisition","B2C","SEA|Social",31,5,12300,2400,610,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,18700
"Awareness","B2C","Social|Display",27,4,7100,1520,405,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,11850
